"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-21",,,"0.68","0.0","0.0","60","39","52",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-22",,,"0.00","0.0","0.0","64","36","60",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-23",,,"0.00","0.0","0.0","61","49","53",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-24",,,"0.60","0.0","0.0","56","48","52",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-25",,,"0.00","0.0","0.0","54","42","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-26",,,"0.00","0.0","0.0","51","43","49",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-27",,,"0.00","0.0","0.0","54","42","50",,,,"    1",,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-28",,,"0.82","0.0","0.0","67","51","62",,,,"    1",,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-29",,,"0.00","0.0","0.0","62","50","56",,,,"    1",,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-30",,,"1.55","0.0","0.0","56","42","50",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-03-31",,,"0.00","0.0","0.0","62","40","56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-01",,,"0.00","0.0","0.0","70","40","56",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-02",,,"0.00","0.0","0.0","73","50","66",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-03",,,"0.00","0.0","0.0","73","60","64",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-04",,,"0.00","0.0","0.0","64","47","54",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-05",,,"0.00","0.0","0.0","67","43","62",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-06",,,"0.00","0.0","0.0","73","47","65",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-07",,,"0.00","0.0","0.0","76","57","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-08",,,"0.00","0.0","0.0","70","63","63",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-09",,,"0.00","0.0","0.0","71","45","68",,,,,,
